Resource,Zone,ExistingCap_MW,EndCap_MW_p1,EndCap_MW_p2,EndCap_MW_p3,Cap_Size_MW,RetCap_p1,RetCap_p2,RetCap_p3,NewCap_p1,NewCap_p2,NewCap_p3
TRE_utilitypv_class1_moderate_2,2,0.0,0.014913631415977374,0.03588225739399867,0.04959882981914337,1.0,0.0,0.0014406242672228594,0.018311629546526147,0.014913631415977374,0.02240925024524415,0.03202820197167086
TRE_utilitypv_class1_moderate_3,2,0.0,0.011717859135600651,0.029106466856626417,0.04945523283269093,1.0,0.0,0.0013093293871945448,0.014940331386057631,0.01171785913560065,0.018697937108220312,0.03528909736212216
TRE_utilitypv_class1_moderate_4,2,0.0,0.004637804109893258,0.013214160336691988,0.015715715610084453,1.0,0.0,0.0010254523989041667,0.007558500565501145,0.004637804109893258,0.009601808625702896,0.010060055838893609
TRE_utilitypv_class1_moderate_5,2,0.0,0.006255231981663773,0.016860335503396703,0.02709076696197958,1.0,0.0,0.0010854457960819928,0.00927082383235027,0.006255231981663773,0.011690549317814922,0.019501255290933148
TRE_offshorewind_class3_moderate_fixed_0_1,2,0.0,0.00048417621273499564,0.0018904312372951722,0.0022175738543103725,1.0,0.0,0.00020512522501181854,0.001238747011230139,0.00048417621273499564,0.001611380249571995,0.001565889628245339
TRE_offshorewind_class3_moderate_fixed_0_2,2,0.0,0.0004531635244269536,0.0017395211885640972,0.0019719169184941173,1.0,0.0,0.0001922363147056696,0.001140927530657193,0.0004531635244269536,0.001478593978842813,0.0013733232605872133
TRE_offshorewind_class12_moderate_floating_0_1,2,0.0,0.000301220988443059,0.001157985475458544,0.0012071646267847725,1.0,0.0,0.0001295380044815081,0.0007701740489620258,0.000301220988443059,0.000986302491496993,0.0008193532002882544
TRE_offshorewind_class12_moderate_floating_0_2,2,0.0,0.000295711908054085,0.0011335600078511657,0.001180882322918297,1.0,0.0,0.00012669853157046003,0.0007541877868876901,0.000295711908054085,0.0009645466313675409,0.0008015101019548214
TRE_WEST_naturalgas_ccccsavgcf_conservative_0,3,0.0,0.003121589681723982,0.010775452512926751,0.013302811578713162,500.0,0.0,1.3232408876841842e-6,9.966195166562523e-6,6.243179363447964e-6,1.6630966550089722e-5,1.5020913298135343e-5
TRE_WEST_naturalgas_ccavgcf_moderate_0,3,0.0,0.0030639021108577746,0.012810440302589703,0.013478674842202202,500.0,0.0,2.28261146741244e-6,1.5226124048443182e-5,6.12780422171555e-6,2.1775687850876295e-5,1.6562593127668177e-5
